               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11739,           0.0083641,                   0,           0.0019726,             0.56757,            0.026107,            0.006699,             0.11016,           0.0047083,                   0,              0.0766,              0.0026,              0.0026
                   1,            0.099774,            0.011048,                   0,             0.51585,             0.18919,              0.2214,            0.058191,            0.083098,           0.0059276,                   0,            0.052195,           0.0051951,           0.0051951
                   2,            0.081954,            0.013092,                   0,             0.29074,              0.2973,              0.2676,             0.10738,            0.076107,           0.0061889,                   0,            0.027683,           0.0076832,           0.0076832
                   3,            0.072776,            0.013854,                   0,             0.66942,             0.51351,             0.41108,             0.10726,             0.06805,           0.0066509,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.062458,            0.014253,                   0,             0.68317,             0.43243,             0.44865,             0.11848,            0.057256,           0.0060143,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.055202,            0.013809,                   0,             0.62721,             0.51351,             0.57406,             0.21693,            0.051661,           0.0058284,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.050913,            0.013867,                   0,             0.98771,             0.54054,             0.72795,             0.33247,            0.040024,           0.0065651,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.048219,            0.012374,                   0,             0.79772,             0.85287,             0.90243,             0.26661,            0.040582,           0.0059204,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.04566,            0.012424,                   0,             0.92507,             0.83784,             0.88828,             0.49156,            0.033446,           0.0056067,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.044263,            0.011557,                   0,             0.82396,             0.88564,             0.89192,             0.36831,            0.034646,           0.0054808,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.040309,            0.010615,                   0,              0.9217,             0.95461,             0.98089,             0.46058,            0.036013,           0.0046892,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.038645,           0.0098074,                   0,             0.94986,             0.94595,             0.99244,             0.60705,            0.023439,           0.0046248,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.037459,           0.0095646,                   0,             0.94342,                   1,             0.98742,             0.56424,            0.027966,           0.0042677,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.034856,           0.0089596,                   0,             0.97343,             0.99026,             0.99447,              0.6371,            0.023278,           0.0041208,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033621,           0.0084512,                   0,             0.93828,                   1,             0.96287,             0.55833,            0.027861,           0.0040369,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.033051,            0.008005,                   0,                   1,             0.99961,               0.995,             0.66516,             0.02305,            0.003696,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.032858,           0.0074974,                   0,             0.99926,                   1,               0.995,             0.69107,            0.022039,           0.0035367,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032459,            0.008213,                   0,             0.97358,                   1,               0.995,             0.69454,            0.018862,           0.0035844,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.030756,           0.0075808,                   0,             0.99584,                   1,               0.995,             0.59601,            0.023512,           0.0034664,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029261,            0.007281,                   0,             0.99599,                   1,               0.995,             0.71488,            0.020484,           0.0034263,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029659,            0.007681,                   0,             0.99736,                   1,               0.995,             0.65882,            0.018873,           0.0032971,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.027936,           0.0074054,                   0,             0.99811,                   1,               0.995,             0.70075,            0.023656,           0.0031571,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.027186,           0.0069687,                   0,             0.99791,                   1,               0.995,             0.73655,             0.01812,           0.0030801,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.027839,            0.006456,                   0,              0.9975,                   1,               0.995,             0.66216,            0.018926,           0.0029836,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.025508,           0.0068794,                   0,             0.99502,                   1,               0.995,             0.74854,            0.016687,           0.0028641,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026794,           0.0064936,                   0,             0.99667,                   1,               0.995,             0.79403,            0.017385,           0.0027699,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.02471,           0.0065038,                   0,              0.9964,                   1,               0.995,             0.72394,            0.015828,           0.0028613,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.024872,           0.0062375,                   0,             0.99549,                   1,               0.995,             0.77807,            0.015251,           0.0027235,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.024427,             0.00603,                   0,             0.99585,                   1,               0.995,             0.80881,            0.017357,            0.002717,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.024304,           0.0065156,                   0,             0.99825,                   1,               0.995,             0.79724,            0.016364,           0.0027843,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.022801,           0.0061853,                   0,             0.99768,                   1,               0.995,             0.77463,            0.015432,           0.0026476,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.022361,           0.0061297,                   0,             0.99763,                   1,               0.995,             0.79704,            0.013873,           0.0025566,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.022096,           0.0058201,                   0,             0.99778,                   1,               0.995,              0.8011,            0.013425,           0.0024657,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.02199,           0.0059599,                   0,             0.99725,                   1,               0.995,             0.82884,            0.013018,           0.0023916,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.021248,              0.0058,                   0,              0.9967,                   1,               0.995,             0.82606,            0.012001,           0.0023482,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.020429,           0.0056585,                   0,             0.99656,                   1,               0.995,             0.81827,            0.011719,           0.0022829,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.020441,           0.0059912,                   0,             0.99614,                   1,               0.995,             0.81548,            0.013618,           0.0022798,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.01978,           0.0053401,                   0,             0.99605,                   1,               0.995,             0.79705,             0.01438,           0.0022247,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.018531,            0.005704,                   0,              0.9964,                   1,               0.995,             0.81907,            0.011381,           0.0021536,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018953,            0.005358,                   0,             0.99645,                   1,               0.995,             0.83386,            0.011699,           0.0021152,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018008,            0.005011,                   0,             0.99577,                   1,               0.995,             0.81735,            0.011436,           0.0021367,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017649,           0.0054171,                   0,              0.9949,                   1,               0.995,             0.83574,            0.010529,           0.0021095,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018026,           0.0052622,                   0,             0.99546,                   1,               0.995,             0.86167,            0.010274,           0.0020775,                   0,            0.001882,            0.001882,            0.001882
                  43,             0.01748,           0.0050835,                   0,             0.99685,                   1,               0.995,             0.80136,            0.010361,           0.0020183,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017257,           0.0051362,                   0,             0.99651,                   1,               0.995,             0.83971,           0.0099151,           0.0019925,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017147,           0.0051695,                   0,              0.9969,                   1,               0.995,              0.8233,            0.010508,           0.0019917,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.015954,           0.0049825,                   0,             0.99715,                   1,               0.995,             0.84092,           0.0097824,           0.0019776,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016162,           0.0050075,                   0,             0.99692,                   1,               0.995,             0.83219,           0.0095667,           0.0020036,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01581,           0.0050197,                   0,             0.99688,                   1,               0.995,             0.84465,           0.0092033,           0.0019672,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.015281,           0.0047199,                   0,             0.99676,                   1,               0.995,             0.84752,            0.009016,           0.0019355,                   0,            0.000496,            0.000496,            0.000496
